,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,time_ms,delta_ms,accel_ms2_x,accel_ms2_y,accel_ms2_z,mag_uT_x,mag_uT_y,mag_uT_z,gyro_degs_x,gyro_degs_y,gyro_degs_z,euler_deg_x,euler_deg_y,euler_deg_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z,lin_accel_ms2_x,lin_accel_ms2_y,lin_accel_ms2_z,gravity_ms2_x,gravity_ms2_y,gravity_ms2_z
1,0,0,-5.88,6.98,3.11,18.0625,-28.375,-17.6875,-0.10444444444444445,0.02,-0.051111111111111114,0.0625,-40.0625,-65.75,217530368.0,115654656.0,106594304.0,-196608.0,0.43,0.14,0.04,-6.31,6.84,3.07
2,8.562999999999999,8,-5.93,7.08,3.0,18.0625,-28.375,-17.6875,-0.12555555555555556,0.04,-0.04777777777777778,0.0625,-40.125,-65.75,217579520.0,115507200.0,106659840.0,-163840.0,0.38,0.25,-0.07,-6.32,6.83,3.07
3,20.315,11,-5.98,7.2,2.86,16.0625,-28.1875,-16.6875,-0.14444444444444443,0.06777777777777778,-0.043333333333333335,0.0,-40.125,-65.6875,217628672.0,115326976.0,106758144.0,-98304.0,0.34,0.37,-0.22,-6.32,6.82,3.08
4,28.939,8,-6.1,7.27,2.72,16.0625,-28.1875,-16.6875,-0.16111111111111112,0.10666666666666667,-0.04666666666666667,0.0,-40.1875,-65.625,217661440.0,115130368.0,106889216.0,-16384.0,0.23,0.45,-0.36,-6.33,6.82,3.08
5,38.46,9,-6.34,7.47,2.33,16.0625,-28.1875,-16.6875,-0.15222222222222223,0.15777777777777777,-0.05555555555555555,359.9375,-40.25,-65.5625,217661440.0,114950144.0,107085824.0,98304.0,0.0,0.66,-0.75,-6.34,6.81,3.08
6,48.672,10,-6.49,7.6,2.21,16.0625,-28.1875,-16.6875,-0.11444444444444445,0.21333333333333335,-0.07444444444444444,359.875,-40.3125,-65.625,217612288.0,114786304.0,107347968.0,196608.0,-0.14,0.79,-0.86,-6.35,6.8,3.08
7,58.45,9,-6.65,7.71,2.13,16.0625,-28.1875,-16.6875,-0.07,0.28555555555555556,-0.10777777777777778,359.8125,-40.4375,-65.625,217513984.0,114671616.0,107708416.0,278528.0,-0.28,0.91,-0.93,-6.36,6.79,3.07
8,70.18199999999999,11,-6.94,7.96,1.83,14.1875,-28.0625,-16.6875,-0.022222222222222223,0.36666666666666664,-0.16777777777777778,359.8125,-40.625,-65.75,217333760.0,114556928.0,108167168.0,311296.0,-0.55,1.17,-1.21,-6.38,6.78,3.04
9,78.06,7,-7.06,8.08,1.73,14.1875,-28.0625,-16.6875,0.043333333333333335,0.45666666666666667,-0.24222222222222223,359.8125,-40.875,-65.9375,217071616.0,114475008.0,108773376.0,294912.0,-0.65,1.31,-1.28,-6.41,6.77,3.01
10,87.91,9,-7.19,8.1,1.67,14.1875,-28.0625,-16.6875,0.15555555555555556,0.5422222222222223,-0.33555555555555555,359.875,-41.125,-66.1875,216711168.0,114458624.0,109527040.0,163840.0,-0.74,1.35,-1.29,-6.45,6.75,2.97
11,98.158,10,-7.25,8.01,1.68,14.1875,-28.0625,-16.6875,0.2922222222222222,0.6277777777777778,-0.45222222222222225,0.0625,-41.5,-66.5625,216219648.0,114524160.0,110411776.0,-114688.0,-0.75,1.28,-1.23,-6.5,6.73,2.91
12,108.006,9,-7.43,7.86,1.65,14.1875,-28.0625,-16.6875,0.4533333333333333,0.7011111111111111,-0.5944444444444444,0.3125,-41.9375,-67.0,215597056.0,114671616.0,111460352.0,-589824.0,-0.87,1.15,-1.18,-6.55,6.71,2.84
13,120.084,12,-7.48,7.83,1.68,16.5,-29.0,-17.1875,0.6055555555555555,0.7677777777777778,-0.7544444444444445,0.625,-42.5,-67.5,214859776.0,114900992.0,112656384.0,-1261568.0,-0.85,1.15,-1.07,-6.62,6.68,2.75
14,127.72200000000001,7,-7.5,7.77,1.67,16.5,-29.0,-17.1875,0.73,0.8144444444444444,-0.8944444444444445,1.125,-43.125,-68.125,214007808.0,115163136.0,113967104.0,-2129920.0,-0.8,1.12,-0.98,-6.7,6.64,2.66
15,137.899,10,-7.48,7.56,1.7,16.5,-29.0,-17.1875,0.82,0.8577777777777778,-1.001111111111111,1.625,-43.8125,-68.8125,213090304.0,115458048.0,115376128.0,-3112960.0,-0.7,0.96,-0.85,-6.78,6.59,2.55
16,148.237,10,-7.41,7.51,1.71,16.5,-29.0,-17.1875,0.8777777777777778,0.8888888888888888,-1.0655555555555556,2.25,-44.5,-69.5,212090880.0,115785728.0,116834304.0,-4194304.0,-0.54,0.96,-0.72,-6.87,6.55,2.44
17,157.954,9,-7.35,7.45,1.73,16.5,-29.0,-17.1875,0.92,0.9033333333333333,-1.0911111111111111,2.875,-45.25,-70.3125,211058688.0,116113408.0,118325248.0,-5308416.0,-0.38,0.95,-0.58,-6.96,6.49,2.32
18,169.989,12,-7.31,7.33,1.79,16.375,-29.0625,-13.6875,0.9388888888888889,0.8955555555555555,-1.0922222222222222,3.5,-45.9375,-71.0625,209993728.0,116457472.0,119799808.0,-6438912.0,-0.26,0.88,-0.41,-7.05,6.44,2.2
19,177.681,7,-7.14,6.96,1.79,16.375,-29.0625,-13.6875,0.9388888888888889,0.8744444444444445,-1.0877777777777777,4.125,-46.6875,-71.875,208945152.0,116801536.0,121241600.0,-7569408.0,0.0,0.57,-0.3,-7.13,6.39,2.09
20,187.92000000000002,10,-7.03,6.81,1.8,16.375,-29.0625,-13.6875,0.9233333333333333,0.8388888888888889,-1.0888888888888888,4.75,-47.375,-72.625,207896576.0,117112832.0,122650624.0,-8716288.0,0.18,0.48,-0.17,-7.21,6.33,1.97
21,198.252,10,-6.95,6.67,1.77,16.375,-29.0625,-13.6875,0.9011111111111111,0.7877777777777778,-1.0944444444444446,5.4375,-48.0625,-73.375,206880768.0,117407744.0,123994112.0,-9879552.0,0.34,0.39,-0.09,-7.29,6.27,1.87
22,208.081,9,-6.76,6.39,1.79,16.375,-29.0625,-13.6875,0.8711111111111111,0.7244444444444444,-1.1044444444444443,6.125,-48.75,-74.0625,205914112.0,117637120.0,125272064.0,-11075584.0,0.6,0.18,0.02,-7.37,6.21,1.76
23,220.054,11,-6.69,6.31,1.82,19.0625,-28.0,-12.875,0.8344444444444444,0.6477777777777778,-1.12,6.8125,-49.4375,-74.75,204996608.0,117817344.0,126484480.0,-12304384.0,0.76,0.16,0.15,-7.45,6.15,1.67
24,227.619,7,-6.64,6.21,1.81,19.0625,-28.0,-12.875,0.7977777777777778,0.5644444444444444,-1.1355555555555557,7.5625,-50.125,-75.375,204144640.0,117948416.0,127631360.0,-13582336.0,0.88,0.13,0.22,-7.52,6.08,1.58
25,237.956,10,-6.57,6.14,1.8,19.0625,-28.0,-12.875,0.7411111111111112,0.4777777777777778,-1.1388888888888888,8.3125,-50.75,-75.875,203358208.0,117997568.0,128679936.0,-14860288.0,1.02,0.13,0.29,-7.6,6.01,1.5
26,248.363,10,-6.51,5.97,1.74,19.0625,-28.0,-12.875,0.6733333333333333,0.3888888888888889,-1.1322222222222222,9.0625,-51.4375,-76.3125,202653696.0,117981184.0,129646592.0,-16154624.0,1.15,0.03,0.3,-7.66,5.93,1.44
27,258.14,9,-6.49,5.85,1.73,19.0625,-28.0,-12.875,0.5988888888888889,0.31,-1.1044444444444443,9.8125,-52.0625,-76.6875,202047488.0,117899264.0,130514944.0,-17416192.0,1.24,-0.01,0.34,-7.73,5.86,1.38
28,270.075,11,-6.43,5.78,1.7,21.1875,-29.0625,-8.75,0.5277777777777778,0.23555555555555555,-1.0633333333333332,10.5625,-52.625,-76.9375,201506816.0,117768192.0,131284992.0,-18628608.0,1.36,0.0,0.35,-7.79,5.79,1.34
29,277.55,7,-6.49,5.54,1.47,21.1875,-29.0625,-8.75,0.46,0.17555555555555555,-1.0066666666666666,11.1875,-53.1875,-77.1875,201048064.0,117587968.0,131973120.0,-19775488.0,1.36,-0.17,0.17,-7.85,5.72,1.3
30,287.969,10,-6.57,5.49,1.39,21.1875,-29.0625,-8.75,0.3933333333333333,0.1288888888888889,-0.9511111111111111,11.8125,-53.6875,-77.3125,200654848.0,117374976.0,132595712.0,-20873216.0,1.33,-0.16,0.12,-7.9,5.65,1.27
31,298.322,10,-6.68,5.4,1.22,21.1875,-29.0625,-8.75,0.3488888888888889,0.10333333333333333,-0.8988888888888888,12.4375,-54.1875,-77.4375,200310784.0,117161984.0,133152768.0,-21889024.0,1.27,-0.18,-0.01,-7.95,5.59,1.24
32,308.128,9,-6.73,5.34,1.2,21.1875,-29.0625,-8.75,0.3388888888888889,0.08777777777777777,-0.85,13.0,-54.6875,-77.5625,199966720.0,116948992.0,133677056.0,-22855680.0,1.27,-0.18,-0.01,-8.0,5.53,1.21
33,320.11,11,-7.05,5.38,1.02,24.875,-28.375,-6.5,0.3466666666666667,0.08,-0.8166666666666667,13.5625,-55.125,-77.625,199639040.0,116768768.0,134168576.0,-23805952.0,0.99,-0.09,-0.17,-8.04,5.47,1.19
